TCGA	Tissue	Group	Pos	Score	IFNA1	IFNA2	IFNGR1	POLR3B	IRF3	IFNGR2	IFNE	TBK1	IFNAR1	IFNB1	TMEM173	POLR3A	IFNG	IFNAR2	IFNK	DDX58
TCGA-OR-A5JK	acc	WT	0	871.44650	0.0	0.0	10.2021	8.4145	11.0135	10.2086	0.0	10.3316	10.811	0.0	7.6445	7.9987	5.1734	7.898	0.0	8.2651
TCGA-ER-A195	skcm	WT	0	1571.31750	0.0	0.0	11.2818	7.6085	9.725	11.2707	0.0	9.2921	11.2038	0.4301	9.9547	9.4416	5.241	9.5257	0.0	9.0909
TCGA-A6-6781	coad	WT	0	1122.67278	0.0	0.0	10.7798	8.1479	10.145	11.2504	1.2837	8.9638	10.6744	0.0	11.4011	8.8383	3.3344	8.7873	0.5638	8.7799
TCGA-CZ-5451	kirc	WT	0	-1112.25311	0.0	0.0	11.3939	7.3921	9.2077	11.1298	0.5152	9.0078	11.6779	0.0	10.0643	8.6797	2.1485	9.2462	0.5152	9.9228
TCGA-L4-A4E6	luad	WT	0	2309.16227	0.0	0.0	11.7051	7.692	10.4916	10.9991	1.0789	9.0222	10.9492	0.0	10.9184	8.434	4.3552	9.6468	0.0	9.0811
TCGA-CN-4733	hnsc	WT	0	2370.40838	0.0	0.0	12.2349	8.2513	10.1649	10.8647	1.3112	9.167	10.6751	1.7946	10.54	9.7991	4.9599	10.0272	0.0	11.4489
TCGA-KL-8337	kich	WT	0	-1092.65213	0.0	0.0	9.7803	8.3326	9.6228	10.5213	0.0	9.1561	11.1583	0.0	7.3114	8.2719	0.0	6.7213	0.0	6.8994
TCGA-OR-A5KZ	acc	WT	0	-660.31555	0.0	0.0	10.5964	8.491	9.8948	10.3162	0.0	9.5832	10.5217	0.6836	7.7065	8.6691	1.1454	7.2584	0.0	7.1763
TCGA-J2-A4AE	luad	WT	0	1057.29999	0.0	0.0	11.8409	7.7597	10.6998	11.2742	1.1257	9.1112	11.2756	1.1257	11.7772	8.4861	3.8076	9.8835	0.0	8.8701
TCGA-BH-A0BR	brca	WT	0	548.19760	0.0	0.0	11.7718	7.6906	9.3524	11.4241	0.8941	9.4612	11.3579	0.0	9.9271	9.4417	1.838	9.0993	0.0	9.2588
TCGA-FU-A3TX	cesc	WT	0	330.79918	0.0	0.0	13.274	9.1276	10.5471	12.2724	2.1666	10.2637	11.0697	0.0	11.6732	8.5203	4.1457	9.278	0.5835	10.0901
TCGA-FS-A1ZN	skcm	WT	0	-603.36396	0.0	0.0	9.5357	8.2614	9.7905	9.8825	2.467	9.4405	9.6929	0.0	10.55	8.4674	1.8943	8.0051	0.0	8.2138
TCGA-EM-A3AR	thca	WT	0	-613.80335	0.0	0.0	10.9335	7.964	9.9363	11.3411	2.3561	8.973	11.261	0.4589	9.5893	8.6475	1.0865	8.4093	0.0	8.39
TCGA-EB-A5SE	skcm	CTD	1047	-702.15384	0.0	0.0	9.0678	8.4197	9.6985	11.4287	0.4454	8.5755	10.4062	0.0	10.7801	8.7887	1.8204	9.0074	0.0	7.9289
TCGA-E2-A14S	brca	WT	0	366.07848	0.3902	0.0	10.5477	7.9447	9.1862	10.6511	1.3522	9.4054	10.7851	0.0	9.186	9.1247	2.7205	8.1684	0.0	9.4205
