Sample	Project	Score
TCGA-GV-A3QK	bladder_cancer	371.83606
TCGA-ER-A19P	melanoma	3092.04997
TCGA-EM-A1YD	thyroid_cancer_	-567.42060
TCGA-AN-A0XL	breast_cancer	-373.74031
TCGA-OR-A5KO	adrenocortical_cancer	-1365.55946
TCGA-FY-A4B3	thyroid_cancer_	-403.58995
TCGA-21-5784	lung_squamous_cell_carcinoma	1120.53855
TCGA-EE-A3AD	melanoma	-822.16324
TCGA-DJ-A3VA	thyroid_cancer_	-375.94639
TCGA-A6-6654	colon_cancer	1341.99560
TCGA-78-7159	lung_adenocarcinoma	104.02382
TCGA-BA-4075	head_and_neck_cancer	295.54915
TCGA-97-8177	lung_adenocarcinoma	1682.14170
TCGA-BP-4768	kidney_clear_cell_carcinoma	189.11724
TCGA-ER-A42H	melanoma	-640.81078
TCGA-HC-7080	prostate_cancer	-1179.50266
TCGA-AR-A0U3	breast_cancer	-342.12672
TCGA-B6-A400	breast_cancer	396.41198
TCGA-E2-A15F	breast_cancer	-358.08969
TCGA-EL-A3T3	thyroid_cancer_	-1206.81785
TCGA-EV-5902	kidney_papillary_cell_carcinoma	-1325.07840
TCGA-G9-7525	prostate_cancer	-935.92296
